#,Epic,Task,Status,Priority,MVP-yes/no,Remarks,Sprint
39,Downloads,Clear cache/manage downloads in Settings,To Do,Medium,Yes,User can delete files,Sprint 4
40,Downloads,Manual testing checklist for downloads,To Do,High,Yes,Create and run,Sprint 4
41,Favorites,Design Favorites screen wireframe,To Do,Medium,Yes,Before UI dev,Sprint 5
42,Favorites,Build UI list of saved favorites,To Do,High,Yes,Display ranges,Sprint 5
43,Favorites,Add new favorite (save surah+range+reciter+lang),To Do,High,Yes,Persistent storage,Sprint 5
44,Favorites,Swipe-to-delete favorite,To Do,Medium,Yes,Update storage/UI,Sprint 5
45,Favorites,Play directly from favorites list,To Do,High,Yes,End-to-end functionality,Sprint 5
46,Favorites,Manual testing checklist for favorites,To Do,High,Yes,Create and run,Sprint 5
47,Settings,Design Settings screen wireframe,To Do,Medium,Yes,UI baseline,Sprint 5
48,Settings,Implement default Arabic Reciter preference,To Do,High,Yes,Stored locally,Sprint 5
49,Settings,Implement default Translation preference,To Do,High,Yes,Language + version,Sprint 5
50,Settings,Implement default Playback Speed preference,To Do,Medium,Yes,Stored locally,Sprint 5
51,Settings,Implement Manage Downloads (clear/selective delete),To Do,Medium,Yes,Storage mgmt,Sprint 5
52,Settings,Show app version info,To Do,Low,Yes,Simple display,Sprint 5
53,Settings,Manual testing checklist for settings,To Do,High,Yes,Create and run,Sprint 5
54,Design/UX,Create high-fidelity mockups,To Do,Medium,Yes,Align team,Sprint 6
55,Design/UX,Apply minimal distraction-free theme,To Do,Medium,Yes,Consistency,Sprint 6
56,Design/UX,Add empty states for downloads/favorites,To Do,Low,Yes,UX detail,Sprint 6
57,Design/UX,Add micro-animations for player,To Do,Low,No,Stretch goal,Sprint 6
58,Testing,Write manual test cases for Surah List,To Do,High,Yes,QA,Sprint 7
59,Testing,Write manual test cases for Audio Config,To Do,High,Yes,QA,Sprint 7
60,Testing,Write manual test cases for Media Player,To Do,High,Yes,QA,Sprint 7
61,Testing,Write manual test cases for Downloads,To Do,High,Yes,QA,Sprint 7
62,Testing,Write manual test cases for Favorites,To Do,High,Yes,QA,Sprint 7
63,Testing,Write manual test cases for Settings,To Do,Medium,Yes,QA,Sprint 7
64,Testing,Cross-device tests on Android & iOS,To Do,High,Yes,QA,Sprint 7
65,Backend,Setup backend service for TTS caching,To Do,High,Yes,Infra,Sprint 4
66,Backend,Integrate Google TTS API,To Do,High,Yes,Generate translation audio,Sprint 4
67,Backend,Store files tagged by Surah:Ayah:Lang:Version,To Do,High,Yes,Metadata management,Sprint 4
68,Backend,Expose API endpoint for cached/generated audio,To Do,High,Yes,App dependency,Sprint 4
69,Backend,Add retry/fallback if TTS fails,To Do,Medium,Yes,Reliability,Sprint 4
70,Backend,Document API endpoints for app team,To Do,Medium,Yes,Handoff,Sprint 4
71,App Foundations,Setup environment configs for testing,To Do,High,Yes,Prep test endpoints,Sprint 0
72,Audio Config,Validate default values loaded correctly,To Do,Medium,Yes,QA check,Sprint 2
73,Media Player,Test playback sequence correctness,To Do,High,Yes,Arabic→Translation,Sprint 3
74,Downloads,Test download logic across devices,To Do,High,Yes,Offline use,Sprint 4
75,Downloads,Test Clear Cache functionality,To Do,Medium,Yes,Settings integration,Sprint 4
76,Favorites,Test add/remove favorite flows,To Do,High,Yes,QA,Sprint 5
77,Settings,Test default playback settings apply,To Do,Medium,Yes,QA,Sprint 5
78,Settings,Test Manage Downloads,To Do,Medium,Yes,QA,Sprint 5
79,Testing,Document QA results per epic,To Do,Medium,Yes,Manual tracking,Sprint 7
80,Backend,Setup DB schema for cached audio,To Do,Medium,Yes,Link audio files,Sprint 4
81,Backend,Setup monitoring/logging,To Do,Low,No,Future hardening,Sprint 7
82,Backend,Test API responses for TTS files,To Do,High,Yes,QA,Sprint 4
83,Design/UX,Finalize UI polish & colors,To Do,Medium,Yes,Sprint 6,
84,Design/UX,Ensure responsive design across screen sizes,To Do,High,Yes,Sprint 6,
85,Media Player,Implement verse highlighting placeholder (future),To Do,Low,No,Sprint 3,
86,Audio Config,Add tooltip/help icons for new users,To Do,Low,No,Sprint 2,
87,Downloads,Implement retry logic for failed downloads,To Do,Medium,Yes,Sprint 4,
88,Favorites,Sort favorites by last played,To Do,Low,No,Sprint 5,
89,App Foundations,Implement error logging (Flutter),To Do,Medium,Yes,Sprint 0,
90,Media Player,Implement buffer progress indicator,To Do,Medium,Yes,Sprint 3,
91,Media Player,Test playback speed functionality,To Do,Medium,Yes,Sprint 3,
92,Surah List,Implement lazy loading for surah list,To Do,Medium,Yes,Improves performance,Sprint 1
93,Audio Config,Validate language/version dependency logic,To Do,Medium,Yes,Sprint 2,
94,Backend,Implement API rate limiting check,To Do,Low,No,Sprint 4,
95,Testing,Prepare internal demo build,To Do,Medium,Yes,Sprint 7,
